Seconds,Value.ChunkData.FrameID,Value.ChunkData.Timestamp
1099.352736,33653,932599888480
1099.369408,33654,932616551320
1099.38608,33655,932633213456
1099.40272,33656,932649879672
1099.419392,33657,932666545920
1099.4360959999999,33658,932683211536
1099.452736,33659,932699877568
1099.4694079999999,33660,932716544104
1099.4860799999999,33661,932733209784
1099.50272,33662,932749876056
1099.5193919999999,33663,932766539104
1099.536096,33664,932783204488
1099.5527360000001,33665,932799871104
1099.5693759999999,33666,932816536944
1099.58608,33667,932833203136
1099.6027200000001,33668,932849869864
1099.6193920000001,33669,932866535104
1099.636096,33670,932883201272
1099.6527040000001,33671,932899868080
1099.6693760000001,33672,932916530104
1099.6860799999999,33673,932933196728
1099.70272,33674,932949862752
1099.719392,33675,932966528320
1099.7360639999999,33676,932983195104
1099.752704,33677,932999860488
1099.769376,33678,933016526616
